species,number,location,date_feather_collected,date_oiled,study_type,treatment,length,pre_weight,post_weight,weight_change,perc_weight_change,time
manx_shearwater,32,high_island,03/07/2015,01/06/2021,percolation,1,4.2,0.0098,0.0100,0.0002,2.04,579.68
manx_shearwater,33,high_island,16/06/2015,01/06/2021,percolation,2,3.7,0.0059,0.0085,0.0026,44.07,24.38
manx_shearwater,34,high_island,08/07/2015,01/06/2021,percolation,3,5.0,0.0093,0.0408,0.0315,338.71,21.51
manx_shearwater,35,high_island,09/08/2015,01/06/2021,percolation,4,3.8,0.0075,0.0786,0.0711,948.00,227.50
manx_shearwater,36,high_island,09/08/2015,03/06/2021,percolation,0,4.0,0.0075,0.0075,0.0000,0.00,347.75
manx_shearwater,37,high_island,07/06/2015,03/06/2021,percolation,1,3.6,0.0070,0.0073,0.0003,4.29,111.26
manx_shearwater,38,high_island,05/06/2015,03/06/2021,percolation,2,3.8,0.0062,0.0210,0.0148,238.71,12.11
manx_shearwater,39,high_island,07/06/2015,03/06/2021,percolation,3,3.7,0.0061,0.0183,0.0122,200.00,16.87
manx_shearwater,40,high_island,07/06/2015,03/06/2021,percolation,4,3.4,0.0057,0.0436,0.0379,664.91,332.85
manx_shearwater,41,high_island,13/06/2015,03/06/2021,percolation,0,4.0,0.0063,0.0063,0.0000,0.00,37.92
manx_shearwater,42,high_island,26/06/2015,03/06/2021,percolation,1,3.7,0.0064,0.0066,0.0002,3.12,74.67
manx_shearwater,43,high_island,08/07/2015,03/06/2021,percolation,2,4.1,0.0081,0.0153,0.0072,88.89,33.30
manx_shearwater,44,high_island,13/06/2015,03/06/2021,percolation,3,4.0,0.0077,0.0342,0.0265,344.16,18.01
manx_shearwater,45,high_island,07/06/2015,03/06/2021,percolation,4,3.9,0.0077,0.0810,0.0733,951.95,309.00
manx_shearwater,46,great_blasket,21/07/2014,16/06/2021,percolation,0,4.2,0.0079,0.0079,0.0000,0.00,66.24
manx_shearwater,47,great_blasket,17/07/2014,16/06/2021,percolation,1,4.1,0.0085,0.0086,0.0001,1.18,368.75
manx_shearwater,48,great_blasket,19/07/2014,16/06/2021,percolation,2,4.0,0.0077,0.0105,0.0028,36.36,91.93
manx_shearwater,49,great_blasket,20/07/2014,16/06/2021,percolation,3,4.1,0.0077,0.0384,0.0307,398.70,20.56
manx_shearwater,50,great_blasket,20/07/2014,16/06/2021,percolation,4,4.3,0.0080,0.1052,0.0972,1215.00,12.08
manx_shearwater,51,great_blasket,20/07/2014,16/06/2021,percolation,0,4.4,0.0091,0.0091,0.0000,0.00,719.57
manx_shearwater,52,great_blasket,16/07/2014,16/06/2021,percolation,1,4.2,0.0064,0.0117,0.0053,82.81,13.35
manx_shearwater,53,great_blasket,20/07/2014,16/06/2021,percolation,2,4.0,0.0081,0.0153,0.0072,88.89,84.87
manx_shearwater,54,great_blasket,19/07/2014,16/06/2021,percolation,3,4.0,0.0084,0.0445,0.0361,429.76,67.31
manx_shearwater,55,great_blasket,19/07/2014,16/06/2021,percolation,4,3.9,0.0071,0.0762,0.0691,973.24,25.08
manx_shearwater,56,high_island,27/07/2014,16/06/2021,percolation,0,3.9,0.0073,0.0073,0.0000,0.00,743.32
manx_shearwater,57,high_island,25/07/2014,16/06/2021,percolation,1,4.0,0.0074,0.0083,0.0009,12.16,81.86
manx_shearwater,58,high_island,31/07/2014,16/06/2021,percolation,2,4.0,0.0077,0.0122,0.0045,58.44,77.41
